sku,name,category,subcategory,brand,supplier,base_price,cost,moq,warranty_months
SKU-00204,Bucher Hydraulics Displays 650,Control y Electrónica,Displays,Bucher Hydraulics,Maestranza Integral,145071.0,118378.0,2,
SKU-00205,FaberCom Direccional 893,Válvulas,Direccional,FaberCom,Pacific Seal Supply,600452.0,414312.0,1,24.0
SKU-00206,Casappa Agua-Aceite 769,Enfriadores,Agua-Aceite,Casappa,Hydroline Andina,1556008.0,1280595.0,2,
SKU-00207,Danfoss Proporcionales 855,Comandos Direccionales,Proporcionales,Danfoss,Andes Motion,745500.0,537506.0,1,6.0
SKU-00208,Brevini Adaptadores 645,Accesorios y Acoples,Adaptadores,Brevini,Industrial Flow Partners,109901.0,73524.0,1,
SKU-00209,Casappa Proporcionales 795,Válvulas,Proporcionales,Casappa,Maestranza Integral,275832.0,193082.0,2,24.0
SKU-00210,Scanreco Engranaje 429,Motores Hidráulicos,Engranaje,Scanreco,Hydroline Andina,4963934.0,3807337.0,1,6.0
SKU-00211,Calzoni Monoblock 913,Comandos Direccionales,Monoblock,Calzoni,Andes Motion,458368.0,346068.0,2,18.0
SKU-00212,Hydac Orbitales 989,Motores Hidráulicos,Orbitales,Hydac,Industrial Flow Partners,1535483.0,1163896.0,2,12.0
SKU-00213,FaberCom Joystick 944,Control y Electrónica,Joystick,FaberCom,Industrial Flow Partners,813765.0,626599.0,2,6.0
SKU-00214,Olaer Proporcionales 880,Comandos Direccionales,Proporcionales,Olaer,Tecfluid Norte,2091458.0,1671075.0,10,12.0
SKU-00215,Rexroth Engranaje 538,Bombas Hidráulicas,Engranaje,Rexroth,Industrial Flow Partners,3559920.0,2869296.0,1,18.0
SKU-00216,Denison Monoblock 184,Comandos Direccionales,Monoblock,Denison,Industrial Flow Partners,838440.0,602838.0,1,36.0
SKU-00217,Danfoss Presión 197,Filtros,Presión,Danfoss,Andes Motion,78068.0,47231.0,2,36.0
SKU-00218,Bucher Hydraulics Paleta 936,Bombas Hidráulicas,Paleta,Bucher Hydraulics,Hydroline Andina,727244.0,613794.0,1,
SKU-00219,Denison Orbitales 406,Motores Hidráulicos,Orbitales,Denison,Andes Motion,539976.0,448180.0,1,
SKU-00220,Denison Reductores Planetarios 550,Mandos Finales,Reductores Planetarios,Denison,Industrial Flow Partners,7949169.0,7019116.0,1,24.0
SKU-00221,Denison Presión 703,Filtros,Presión,Denison,Andes Motion,77001.0,50975.0,1,6.0
SKU-00222,Bezares Displays 714,Control y Electrónica,Displays,Bezares,Andes Motion,411679.0,329343.0,1,6.0
SKU-00223,Parker Control Remoto 761,Control y Electrónica,Control Remoto,Parker,Industrial Flow Partners,1057201.0,836246.0,2,36.0
SKU-00224,Bucher Hydraulics Paleta 235,Bombas Hidráulicas,Paleta,Bucher Hydraulics,Andes Motion,640435.0,512348.0,1,12.0
SKU-00225,Scanreco Pistones 114,Acumuladores,Pistones,Scanreco,Tecfluid Norte,855826.0,708624.0,1,
SKU-00226,Danfoss Direccional 184,Válvulas,Direccional,Danfoss,Hydroline Andina,760227.0,571691.0,2,18.0
SKU-00227,Casappa Recuperación 500,Winches,Recuperación,Casappa,Pacific Seal Supply,1339742.0,1192370.0,1,6.0
SKU-00228,Webtec Acoples Rotex 218,Accesorios y Acoples,Acoples Rotex,Webtec,Industrial Flow Partners,112184.0,68208.0,1,
SKU-00229,Webtec Sensores Presión 267,Instrumentación,Sensores Presión,Webtec,Industrial Flow Partners,452765.0,311955.0,5,6.0
SKU-00230,Hydac Manómetros 375,Instrumentación,Manómetros,Hydac,Pacific Seal Supply,476303.0,329602.0,1,36.0
SKU-00231,Parker Joystick 468,Control y Electrónica,Joystick,Parker,Tecfluid Norte,978174.0,764932.0,1,18.0
SKU-00232,Marzocchi Pistones Radiales 102,Bombas Hidráulicas,Pistones Radiales,Marzocchi,Maestranza Integral,1749442.0,1467782.0,1,6.0
SKU-00233,Sun Hydraulics Engranaje 831,Bombas Hidráulicas,Engranaje,Sun Hydraulics,Hydroline Andina,2202176.0,1803582.0,1,24.0
SKU-00234,Sun Hydraulics Displays 614,Control y Electrónica,Displays,Sun Hydraulics,Tecfluid Norte,335503.0,232168.0,1,24.0
SKU-00235,Commercial Hydraulics Planetarios 892,Winches,Planetarios,Commercial Hydraulics,Maestranza Integral,4923859.0,3850458.0,1,18.0
SKU-00236,Poclain Control Flujo 575,Válvulas,Control Flujo,Poclain,Pacific Seal Supply,378978.0,286886.0,2,36.0
SKU-00237,Bucher Hydraulics Accesorios Estanque 124,Filtros,Accesorios Estanque,Bucher Hydraulics,Maestranza Integral,90036.0,57713.0,1,
SKU-00238,Bezares Monoblock 855,Comandos Direccionales,Monoblock,Bezares,Industrial Flow Partners,2118186.0,1520858.0,1,36.0
SKU-00239,Rexroth Control Remoto 195,Control y Electrónica,Control Remoto,Rexroth,Maestranza Integral,659287.0,518859.0,1,6.0
SKU-00240,Hydac Paleta 236,Bombas Hidráulicas,Paleta,Hydac,Andes Motion,3198684.0,2622921.0,1,24.0
SKU-00241,Poclain Izado 422,Winches,Izado,Poclain,Pacific Seal Supply,3623014.0,3072316.0,2,12.0
SKU-00242,KTR Pistones 208,Acumuladores,Pistones,KTR,Tecfluid Norte,722916.0,592791.0,1,24.0
SKU-00243,FaberCom Reductores Planetarios 371,Mandos Finales,Reductores Planetarios,FaberCom,Tecfluid Norte,3726890.0,3115680.0,1,18.0
SKU-00244,Commercial Hydraulics Engranaje 828,Motores Hidráulicos,Engranaje,Commercial Hydraulics,Industrial Flow Partners,1660232.0,1308263.0,1,12.0
SKU-00245,Calzoni Proporcionales 975,Comandos Direccionales,Proporcionales,Calzoni,Pacific Seal Supply,236502.0,190384.0,1,
SKU-00246,Rexroth Caudalímetros 943,Instrumentación,Caudalímetros,Rexroth,Andes Motion,88087.0,59987.0,1,6.0
SKU-00247,Poclain Vejiga 554,Acumuladores,Vejiga,Poclain,Pacific Seal Supply,912289.0,666883.0,1,6.0
SKU-00248,KTR Reductores Planetarios 130,Mandos Finales,Reductores Planetarios,KTR,Hydroline Andina,1107413.0,935764.0,2,36.0
SKU-00249,Scanreco Pistones 734,Acumuladores,Pistones,Scanreco,Maestranza Integral,582599.0,426462.0,2,6.0
SKU-00250,Webtec Campanas 304,Accesorios y Acoples,Campanas,Webtec,Andes Motion,105938.0,72144.0,2,18.0
SKU-00251,Sun Hydraulics Recuperación 657,Winches,Recuperación,Sun Hydraulics,Industrial Flow Partners,5967480.0,4982846.0,2,36.0
SKU-00252,Marzocchi Manómetros 897,Instrumentación,Manómetros,Marzocchi,Pacific Seal Supply,213315.0,161906.0,1,
SKU-00253,Bucher Hydraulics Cartridge 346,Válvulas,Cartridge,Bucher Hydraulics,Pacific Seal Supply,302010.0,217749.0,1,
SKU-00254,Danfoss Proporcionales 425,Válvulas,Proporcionales,Danfoss,Maestranza Integral,471161.0,307668.0,1,6.0
SKU-00255,Marzocchi Control Remoto 956,Control y Electrónica,Control Remoto,Marzocchi,Hydroline Andina,858971.0,662267.0,1,24.0
SKU-00256,Commercial Hydraulics Manómetros 439,Instrumentación,Manómetros,Commercial Hydraulics,Andes Motion,51639.0,40898.0,1,24.0
SKU-00257,Denison Campanas 700,Accesorios y Acoples,Campanas,Denison,Tecfluid Norte,180650.0,111100.0,2,
SKU-00258,Rexroth Microcontroladores 409,Control y Electrónica,Microcontroladores,Rexroth,Pacific Seal Supply,1039770.0,713282.0,2,24.0
SKU-00259,Commercial Hydraulics Presión 675,Filtros,Presión,Commercial Hydraulics,Industrial Flow Partners,114254.0,67638.0,2,6.0
SKU-00260,Sun Hydraulics Control Remoto 101,Control y Electrónica,Control Remoto,Sun Hydraulics,Industrial Flow Partners,727293.0,578198.0,2,6.0
SKU-00261,Marzocchi Displays 206,Control y Electrónica,Displays,Marzocchi,Hydroline Andina,259394.0,201030.0,5,6.0
SKU-00262,KTR Caudalímetros 846,Instrumentación,Caudalímetros,KTR,Industrial Flow Partners,74350.0,55614.0,1,36.0
SKU-00263,Parker Alta Presión 495,Filtros,Alta Presión,Parker,Tecfluid Norte,31485.0,19237.0,1,36.0
SKU-00264,Commercial Hydraulics Data Loggers 691,Instrumentación,Data Loggers,Commercial Hydraulics,Andes Motion,311057.0,231115.0,1,18.0
SKU-00265,Sun Hydraulics Recuperación 207,Winches,Recuperación,Sun Hydraulics,Maestranza Integral,2982081.0,2397593.0,1,12.0
SKU-00266,Commercial Hydraulics Orbitales 728,Motores Hidráulicos,Orbitales,Commercial Hydraulics,Andes Motion,972342.0,845938.0,1,12.0
SKU-00267,Scanreco Sensores Presión 294,Instrumentación,Sensores Presión,Scanreco,Industrial Flow Partners,124048.0,82740.0,1,12.0
SKU-00268,Casappa Pistones 502,Acumuladores,Pistones,Casappa,Industrial Flow Partners,1394315.0,1087566.0,2,6.0
SKU-00269,Denison Tomas de Fuerza 311,Accesorios y Acoples,Tomas de Fuerza,Denison,Hydroline Andina,93403.0,65662.0,2,6.0
SKU-00270,Poclain Reductores Planetarios 757,Mandos Finales,Reductores Planetarios,Poclain,Andes Motion,6875137.0,5933243.0,2,36.0
SKU-00271,Commercial Hydraulics Agua-Aceite 331,Enfriadores,Agua-Aceite,Commercial Hydraulics,Tecfluid Norte,1788161.0,1487750.0,2,18.0
SKU-00272,Danfoss Proporcionales 874,Válvulas,Proporcionales,Danfoss,Maestranza Integral,607982.0,429843.0,2,24.0
SKU-00273,Casappa Campanas 587,Accesorios y Acoples,Campanas,Casappa,Hydroline Andina,210995.0,133560.0,2,24.0
SKU-00274,Calzoni Cartridge 559,Válvulas,Cartridge,Calzoni,Industrial Flow Partners,51915.0,37535.0,1,
SKU-00275,Argo Hytos Reductores Planetarios 742,Mandos Finales,Reductores Planetarios,Argo Hytos,Maestranza Integral,1708539.0,1450550.0,2,6.0
SKU-00276,KTR Reductores Planetarios 382,Mandos Finales,Reductores Planetarios,KTR,Industrial Flow Partners,7382052.0,6584790.0,2,24.0
SKU-00277,Parker Agua-Aceite 702,Enfriadores,Agua-Aceite,Parker,Industrial Flow Partners,1302657.0,1057757.0,2,6.0
SKU-00278,Rexroth Acoples Rotex 770,Accesorios y Acoples,Acoples Rotex,Rexroth,Pacific Seal Supply,195988.0,125236.0,2,18.0
SKU-00279,Danfoss Data Loggers 439,Instrumentación,Data Loggers,Danfoss,Maestranza Integral,186986.0,145475.0,2,
SKU-00280,Danfoss Microcontroladores 963,Control y Electrónica,Microcontroladores,Danfoss,Industrial Flow Partners,596501.0,466464.0,2,12.0
SKU-00281,Sun Hydraulics Sensores Presión 719,Instrumentación,Sensores Presión,Sun Hydraulics,Maestranza Integral,201274.0,138477.0,2,12.0
SKU-00282,Argo Hytos Planetarios 262,Winches,Planetarios,Argo Hytos,Andes Motion,1662648.0,1331781.0,2,
SKU-00283,Hydac Orbitales 952,Motores Hidráulicos,Orbitales,Hydac,Andes Motion,851119.0,654511.0,1,6.0
SKU-00284,Sun Hydraulics Direccionales Múltiples 617,Comandos Direccionales,Direccionales Múltiples,Sun Hydraulics,Hydroline Andina,1206348.0,858920.0,2,12.0
SKU-00285,Rexroth Pistones 458,Acumuladores,Pistones,Rexroth,Industrial Flow Partners,123400.0,98967.0,1,18.0
SKU-00286,Olaer Presión 898,Filtros,Presión,Olaer,Industrial Flow Partners,101057.0,73974.0,1,6.0
SKU-00287,Sun Hydraulics Direccionales Múltiples 235,Comandos Direccionales,Direccionales Múltiples,Sun Hydraulics,Industrial Flow Partners,612020.0,460239.0,5,
SKU-00288,Brevini Planetarios 972,Winches,Planetarios,Brevini,Hydroline Andina,1730735.0,1431318.0,2,18.0
SKU-00289,Olaer Alta Presión 623,Filtros,Alta Presión,Olaer,Maestranza Integral,60270.0,37066.0,2,24.0
SKU-00290,Casappa Izado 383,Winches,Izado,Casappa,Industrial Flow Partners,3765749.0,3261139.0,2,
SKU-00291,Olaer Izado 346,Winches,Izado,Olaer,Tecfluid Norte,4108658.0,3229405.0,2,6.0
SKU-00292,KTR Pistones Radiales 514,Bombas Hidráulicas,Pistones Radiales,KTR,Industrial Flow Partners,758693.0,664615.0,2,12.0
SKU-00293,Danfoss Pistones 903,Acumuladores,Pistones,Danfoss,Pacific Seal Supply,1085458.0,842315.0,1,36.0
SKU-00294,Hydac Manómetros 231,Instrumentación,Manómetros,Hydac,Tecfluid Norte,511889.0,345013.0,1,12.0
SKU-00295,Casappa Control Remoto 992,Control y Electrónica,Control Remoto,Casappa,Maestranza Integral,1138962.0,790440.0,1,12.0
SKU-00296,KTR Control Presión 697,Válvulas,Control Presión,KTR,Tecfluid Norte,226933.0,174738.0,2,
SKU-00297,Bucher Hydraulics Acoples Rotex 974,Accesorios y Acoples,Acoples Rotex,Bucher Hydraulics,Maestranza Integral,127617.0,79633.0,2,18.0
SKU-00298,Argo Hytos Reductores Planetarios 832,Mandos Finales,Reductores Planetarios,Argo Hytos,Tecfluid Norte,3746181.0,3116823.0,2,6.0
SKU-00299,Bucher Hydraulics Reductores Planetarios 879,Mandos Finales,Reductores Planetarios,Bucher Hydraulics,Tecfluid Norte,5343436.0,4696880.0,1,18.0
SKU-00300,Bucher Hydraulics Reductores Planetarios 138,Mandos Finales,Reductores Planetarios,Bucher Hydraulics,Hydroline Andina,1731723.0,1468501.0,2,18.0
SKU-00301,Bezares Agua-Aceite 851,Enfriadores,Agua-Aceite,Bezares,Hydroline Andina,1800212.0,1407766.0,1,36.0
SKU-00302,Bezares Direccionales Múltiples 405,Comandos Direccionales,Direccionales Múltiples,Bezares,Tecfluid Norte,426855.0,338069.0,1,
SKU-00303,Hydac Control Presión 601,Válvulas,Control Presión,Hydac,Pacific Seal Supply,431191.0,321668.0,1,12.0
SKU-00304,Commercial Hydraulics Presión 616,Filtros,Presión,Commercial Hydraulics,Andes Motion,10142.0,7150.0,1,36.0
SKU-00305,Bezares Reductores Planetarios 708,Mandos Finales,Reductores Planetarios,Bezares,Industrial Flow Partners,5483891.0,4913566.0,2,24.0
SKU-00306,Parker Engranaje 256,Bombas Hidráulicas,Engranaje,Parker,Hydroline Andina,3150411.0,2561284.0,5,12.0
SKU-00307,Parker Monoblock 207,Comandos Direccionales,Monoblock,Parker,Tecfluid Norte,1121674.0,936598.0,1,18.0
SKU-00308,Webtec Agua-Aceite 466,Enfriadores,Agua-Aceite,Webtec,Hydroline Andina,1601806.0,1305472.0,2,24.0
SKU-00309,Webtec Displays 113,Control y Electrónica,Displays,Webtec,Maestranza Integral,95317.0,71583.0,2,12.0
SKU-00310,Rexroth Planetarios 362,Winches,Planetarios,Rexroth,Pacific Seal Supply,4179621.0,3686426.0,1,36.0
SKU-00311,FaberCom Planetarios 793,Winches,Planetarios,FaberCom,Tecfluid Norte,1952688.0,1745703.0,1,12.0
SKU-00312,Rexroth Alta Presión 436,Filtros,Alta Presión,Rexroth,Hydroline Andina,103340.0,59110.0,1,36.0
SKU-00313,Brevini Alta Presión 567,Filtros,Alta Presión,Brevini,Tecfluid Norte,106389.0,77770.0,1,
SKU-00314,Bucher Hydraulics Control Presión 704,Válvulas,Control Presión,Bucher Hydraulics,Andes Motion,527856.0,361581.0,1,6.0
SKU-00315,Commercial Hydraulics Data Loggers 215,Instrumentación,Data Loggers,Commercial Hydraulics,Pacific Seal Supply,246458.0,183858.0,1,18.0
SKU-00316,Danfoss Vejiga 631,Acumuladores,Vejiga,Danfoss,Hydroline Andina,451490.0,365255.0,1,36.0
SKU-00317,Scanreco Agua-Aceite 671,Enfriadores,Agua-Aceite,Scanreco,Industrial Flow Partners,1494306.0,1220848.0,2,6.0
SKU-00318,Parker Acoples Rotex 603,Accesorios y Acoples,Acoples Rotex,Parker,Industrial Flow Partners,233921.0,161172.0,2,6.0
SKU-00319,KTR Presión 554,Filtros,Presión,KTR,Tecfluid Norte,13639.0,9615.0,2,6.0
SKU-00320,Poclain Tomas de Fuerza 136,Accesorios y Acoples,Tomas de Fuerza,Poclain,Andes Motion,114532.0,86930.0,1,
SKU-00321,Poclain Agua-Aceite 449,Enfriadores,Agua-Aceite,Poclain,Pacific Seal Supply,1931867.0,1539698.0,2,36.0
SKU-00322,Sun Hydraulics Spin-On 199,Filtros,Spin-On,Sun Hydraulics,Andes Motion,45181.0,26973.0,2,36.0
SKU-00323,Parker Planetarios 268,Winches,Planetarios,Parker,Tecfluid Norte,2453264.0,2021490.0,2,36.0
SKU-00324,Scanreco Caudalímetros 900,Instrumentación,Caudalímetros,Scanreco,Hydroline Andina,174945.0,134883.0,2,6.0
SKU-00325,KTR Monoblock 703,Comandos Direccionales,Monoblock,KTR,Hydroline Andina,1922015.0,1620259.0,1,18.0
SKU-00326,Bucher Hydraulics Agua-Aceite 281,Enfriadores,Agua-Aceite,Bucher Hydraulics,Hydroline Andina,1131174.0,988646.0,2,24.0
SKU-00327,Denison Microcontroladores 809,Control y Electrónica,Microcontroladores,Denison,Hydroline Andina,495516.0,364700.0,2,18.0
SKU-00328,Calzoni Proporcionales 866,Comandos Direccionales,Proporcionales,Calzoni,Tecfluid Norte,2429770.0,1900080.0,2,24.0
SKU-00329,Casappa Agua-Aceite 397,Enfriadores,Agua-Aceite,Casappa,Tecfluid Norte,1466968.0,1111962.0,1,6.0
SKU-00330,Denison Izado 460,Winches,Izado,Denison,Industrial Flow Partners,4075475.0,3199248.0,2,36.0
SKU-00331,Marzocchi Agua-Aceite 532,Enfriadores,Agua-Aceite,Marzocchi,Pacific Seal Supply,1893946.0,1492429.0,5,12.0
SKU-00332,Parker Engranaje 249,Bombas Hidráulicas,Engranaje,Parker,Andes Motion,782171.0,604618.0,1,12.0
SKU-00333,Argo Hytos Pistones Axiales 498,Bombas Hidráulicas,Pistones Axiales,Argo Hytos,Pacific Seal Supply,290533.0,217900.0,1,36.0
SKU-00334,Webtec Monoblock 861,Comandos Direccionales,Monoblock,Webtec,Industrial Flow Partners,1701495.0,1209763.0,2,24.0
SKU-00335,Brevini Direccional 659,Válvulas,Direccional,Brevini,Andes Motion,668237.0,444378.0,5,12.0
SKU-00336,Argo Hytos Microcontroladores 486,Control y Electrónica,Microcontroladores,Argo Hytos,Tecfluid Norte,566137.0,386105.0,1,36.0
SKU-00337,Olaer Pistones Radiales 258,Bombas Hidráulicas,Pistones Radiales,Olaer,Pacific Seal Supply,1299442.0,1109723.0,1,12.0
SKU-00338,KTR Paleta 663,Bombas Hidráulicas,Paleta,KTR,Pacific Seal Supply,371221.0,271363.0,2,18.0
SKU-00339,KTR Spin-On 649,Filtros,Spin-On,KTR,Pacific Seal Supply,32636.0,23269.0,5,6.0
SKU-00340,Bezares Diafragma 733,Acumuladores,Diafragma,Bezares,Maestranza Integral,1334423.0,1019499.0,2,6.0
SKU-00341,Casappa Agua-Aceite 349,Enfriadores,Agua-Aceite,Casappa,Industrial Flow Partners,166287.0,131866.0,5,24.0
SKU-00342,Calzoni Pistones Axiales 556,Bombas Hidráulicas,Pistones Axiales,Calzoni,Hydroline Andina,1828560.0,1451877.0,2,24.0
SKU-00343,Webtec Sensores Presión 741,Instrumentación,Sensores Presión,Webtec,Industrial Flow Partners,139732.0,101026.0,1,24.0
SKU-00344,Argo Hytos Engranaje 173,Motores Hidráulicos,Engranaje,Argo Hytos,Industrial Flow Partners,2236205.0,1936554.0,2,36.0
SKU-00345,Parker Microcontroladores 688,Control y Electrónica,Microcontroladores,Parker,Andes Motion,874399.0,712635.0,1,12.0
SKU-00346,Scanreco Proporcionales 106,Comandos Direccionales,Proporcionales,Scanreco,Andes Motion,1193679.0,941813.0,2,36.0
SKU-00347,Brevini Recuperación 208,Winches,Recuperación,Brevini,Hydroline Andina,4657783.0,3865960.0,1,12.0
SKU-00348,Brevini Control Flujo 325,Válvulas,Control Flujo,Brevini,Hydroline Andina,243176.0,160983.0,1,18.0
SKU-00349,Casappa Reductores Planetarios 111,Mandos Finales,Reductores Planetarios,Casappa,Tecfluid Norte,7712967.0,6810550.0,5,36.0
SKU-00350,Rexroth Agua-Aceite 859,Enfriadores,Agua-Aceite,Rexroth,Hydroline Andina,159305.0,127763.0,1,12.0
SKU-00351,Argo Hytos Control Remoto 358,Control y Electrónica,Control Remoto,Argo Hytos,Andes Motion,1091472.0,765122.0,1,6.0
SKU-00352,Commercial Hydraulics Direccionales Múltiples 397,Comandos Direccionales,Direccionales Múltiples,Commercial Hydraulics,Industrial Flow Partners,2023191.0,1460744.0,10,36.0
SKU-00353,Olaer Planetarios 340,Winches,Planetarios,Olaer,Hydroline Andina,1585797.0,1316212.0,2,6.0
SKU-00354,Brevini Orbitales 698,Motores Hidráulicos,Orbitales,Brevini,Hydroline Andina,4520569.0,3792757.0,5,36.0
SKU-00355,KTR Reductores Planetarios 383,Mandos Finales,Reductores Planetarios,KTR,Andes Motion,2014204.0,1736244.0,5,36.0
SKU-00356,KTR Presión 721,Filtros,Presión,KTR,Andes Motion,59839.0,40571.0,5,
SKU-00357,Denison Orbitales 746,Motores Hidráulicos,Orbitales,Denison,Pacific Seal Supply,1142873.0,897155.0,1,
SKU-00358,Marzocchi Pistones Radiales 474,Bombas Hidráulicas,Pistones Radiales,Marzocchi,Maestranza Integral,4092421.0,3241197.0,2,36.0
SKU-00359,Marzocchi Diafragma 110,Acumuladores,Diafragma,Marzocchi,Industrial Flow Partners,1297173.0,1080545.0,1,18.0
SKU-00360,Brevini Planetarios 775,Winches,Planetarios,Brevini,Industrial Flow Partners,1412140.0,1183373.0,1,24.0
SKU-00361,Bezares Reductores Planetarios 311,Mandos Finales,Reductores Planetarios,Bezares,Hydroline Andina,2375498.0,1997794.0,2,6.0
SKU-00362,Calzoni Agua-Aceite 633,Enfriadores,Agua-Aceite,Calzoni,Andes Motion,1848119.0,1413811.0,5,
SKU-00363,Olaer Izado 955,Winches,Izado,Olaer,Pacific Seal Supply,3493925.0,3071160.0,2,24.0
SKU-00364,Olaer Pistones 718,Motores Hidráulicos,Pistones,Olaer,Andes Motion,4868836.0,4143379.0,2,18.0
SKU-00365,FaberCom Paleta 716,Bombas Hidráulicas,Paleta,FaberCom,Maestranza Integral,1150460.0,918067.0,1,6.0
SKU-00366,Sun Hydraulics Joystick 265,Control y Electrónica,Joystick,Sun Hydraulics,Andes Motion,982849.0,706668.0,2,18.0
SKU-00367,Parker Izado 686,Winches,Izado,Parker,Maestranza Integral,737294.0,612691.0,5,24.0
SKU-00368,Commercial Hydraulics Reductores Planetarios 941,Mandos Finales,Reductores Planetarios,Commercial Hydraulics,Tecfluid Norte,7441617.0,6236075.0,1,36.0
SKU-00369,Argo Hytos Cartridge 913,Válvulas,Cartridge,Argo Hytos,Andes Motion,495058.0,366343.0,1,18.0
SKU-00370,Brevini Campanas 335,Accesorios y Acoples,Campanas,Brevini,Industrial Flow Partners,130147.0,97610.0,2,24.0
SKU-00371,Denison Vejiga 281,Acumuladores,Vejiga,Denison,Hydroline Andina,103519.0,80952.0,2,6.0
SKU-00372,Casappa Sensores Presión 634,Instrumentación,Sensores Presión,Casappa,Pacific Seal Supply,458858.0,360662.0,1,36.0
SKU-00373,Danfoss Vejiga 859,Acumuladores,Vejiga,Danfoss,Industrial Flow Partners,832339.0,682518.0,2,12.0
SKU-00374,Scanreco Joystick 656,Control y Electrónica,Joystick,Scanreco,Maestranza Integral,342696.0,244342.0,1,12.0
SKU-00375,Argo Hytos Vejiga 770,Acumuladores,Vejiga,Argo Hytos,Hydroline Andina,1086991.0,811982.0,1,24.0
SKU-00376,KTR Monoblock 533,Comandos Direccionales,Monoblock,KTR,Andes Motion,982202.0,812281.0,2,12.0
SKU-00377,Brevini Adaptadores 668,Accesorios y Acoples,Adaptadores,Brevini,Tecfluid Norte,247991.0,175578.0,2,6.0
SKU-00378,Webtec Manómetros 901,Instrumentación,Manómetros,Webtec,Pacific Seal Supply,226283.0,157040.0,1,36.0
SKU-00379,Rexroth Microcontroladores 153,Control y Electrónica,Microcontroladores,Rexroth,Maestranza Integral,634595.0,450562.0,5,36.0
SKU-00380,Parker Reductores Planetarios 479,Mandos Finales,Reductores Planetarios,Parker,Hydroline Andina,6727439.0,5671231.0,1,
SKU-00381,Danfoss Pistones 158,Motores Hidráulicos,Pistones,Danfoss,Industrial Flow Partners,2044765.0,1537663.0,2,36.0
SKU-00382,FaberCom Reductores Planetarios 713,Mandos Finales,Reductores Planetarios,FaberCom,Hydroline Andina,2252292.0,1849132.0,5,6.0
SKU-00383,Brevini Agua-Aceite 898,Enfriadores,Agua-Aceite,Brevini,Maestranza Integral,1396945.0,1163655.0,1,
SKU-00384,Calzoni Vejiga 843,Acumuladores,Vejiga,Calzoni,Andes Motion,912234.0,714279.0,1,
SKU-00385,Bezares Agua-Aceite 279,Enfriadores,Agua-Aceite,Bezares,Tecfluid Norte,568647.0,429328.0,2,24.0
SKU-00386,Rexroth Pistones 688,Acumuladores,Pistones,Rexroth,Pacific Seal Supply,182788.0,148424.0,2,24.0
SKU-00387,Calzoni Control Presión 700,Válvulas,Control Presión,Calzoni,Pacific Seal Supply,399813.0,311454.0,2,36.0
SKU-00388,Rexroth Pistones Radiales 461,Bombas Hidráulicas,Pistones Radiales,Rexroth,Tecfluid Norte,443861.0,345768.0,1,12.0
SKU-00389,Olaer Agua-Aceite 282,Enfriadores,Agua-Aceite,Olaer,Maestranza Integral,681486.0,564270.0,2,
SKU-00390,Bezares Manómetros 340,Instrumentación,Manómetros,Bezares,Maestranza Integral,539760.0,410218.0,1,18.0
SKU-00391,Olaer Microcontroladores 222,Control y Electrónica,Microcontroladores,Olaer,Maestranza Integral,313589.0,220453.0,2,6.0
SKU-00392,Bucher Hydraulics Pistones 604,Motores Hidráulicos,Pistones,Bucher Hydraulics,Pacific Seal Supply,231794.0,178250.0,2,12.0
SKU-00393,Bucher Hydraulics Adaptadores 638,Accesorios y Acoples,Adaptadores,Bucher Hydraulics,Maestranza Integral,246177.0,151399.0,1,24.0
SKU-00394,Casappa Vejiga 815,Acumuladores,Vejiga,Casappa,Hydroline Andina,793515.0,634018.0,2,18.0
SKU-00395,KTR Agua-Aceite 982,Enfriadores,Agua-Aceite,KTR,Industrial Flow Partners,165574.0,131135.0,1,12.0
SKU-00396,Casappa Direccional 315,Válvulas,Direccional,Casappa,Tecfluid Norte,208783.0,154499.0,5,6.0
SKU-00397,Bezares Pistones 933,Acumuladores,Pistones,Bezares,Tecfluid Norte,1293143.0,1052618.0,2,24.0
SKU-00398,Olaer Pistones 280,Motores Hidráulicos,Pistones,Olaer,Maestranza Integral,2865632.0,2203671.0,1,18.0
SKU-00399,Denison Vejiga 681,Acumuladores,Vejiga,Denison,Industrial Flow Partners,814150.0,615497.0,2,12.0
SKU-00400,Rexroth Pistones Radiales 366,Bombas Hidráulicas,Pistones Radiales,Rexroth,Industrial Flow Partners,860537.0,728014.0,1,18.0
SKU-00401,Casappa Retorno 720,Filtros,Retorno,Casappa,Pacific Seal Supply,112367.0,78432.0,1,12.0
SKU-00402,Marzocchi Monoblock 599,Comandos Direccionales,Monoblock,Marzocchi,Industrial Flow Partners,1664932.0,1371904.0,5,12.0
SKU-00403,Poclain Displays 445,Control y Electrónica,Displays,Poclain,Andes Motion,755713.0,570563.0,1,36.0
SKU-00404,Brevini Pistones 768,Acumuladores,Pistones,Brevini,Pacific Seal Supply,654777.0,479297.0,2,6.0
SKU-00405,Brevini Control Flujo 561,Válvulas,Control Flujo,Brevini,Industrial Flow Partners,331478.0,221759.0,2,36.0
SKU-00406,Commercial Hydraulics Diafragma 205,Acumuladores,Diafragma,Commercial Hydraulics,Hydroline Andina,257557.0,210939.0,1,6.0
SKU-00407,Bucher Hydraulics Engranaje 259,Motores Hidráulicos,Engranaje,Bucher Hydraulics,Pacific Seal Supply,458362.0,357522.0,1,
SKU-00408,Calzoni Pistones 274,Motores Hidráulicos,Pistones,Calzoni,Tecfluid Norte,1300909.0,1019913.0,1,6.0
